,,Per capita personal income (dollars),,
Terrell,Georgia,"38,739","41,393","44,976"
Thomas,Georgia,"44,536","45,470","49,443"
Tift,Georgia,"37,273","38,346","42,279"
Toombs,Georgia,"34,881","35,912","40,041"
Towns,Georgia,"38,273","40,105","42,908"
Treutlen,Georgia,"28,662","28,946","31,899"
Troup,Georgia,"35,676","37,461","40,920"
Turner,Georgia,"33,394","36,111","39,281"
Twiggs,Georgia,"40,393","40,913","44,686"
Union,Georgia,"36,919","38,294","39,839"
Upson,Georgia,"34,893","36,600","39,391"
Walker,Georgia,"32,834","33,883","36,157"
Walton,Georgia,"41,047","42,588","44,977"
Ware,Georgia,"33,082","33,737","37,306"
Warren,Georgia,"33,999","36,015","39,545"
Washington,Georgia,"34,685","35,889","39,151"
Wayne,Georgia,"31,330","31,927","34,877"
Webster,Georgia,"32,221","33,487","36,032"
Wheeler,Georgia,"18,465","18,944","21,087"
White,Georgia,"35,641","36,814","38,858"
Whitfield,Georgia,"39,105","40,622","43,456"
Wilcox,Georgia,"26,687","28,621","29,895"
Wilkes,Georgia,"40,172","41,337","42,093"
Wilkinson,Georgia,"35,334","37,209","40,158"
Worth,Georgia,"34,010","36,250","39,102"
Hawaii,Hawaii,"53,534","55,464","58,655"
Hawaii,Hawaii,"40,925","42,551","46,281"
Honolulu,Hawaii,"57,468","59,329","62,793"
Kauai,Hawaii,"48,497","50,967","54,089"
Maui + Kalawao,Hawaii,"47,886","50,536","51,838"
Idaho,Idaho,"43,766","45,741","48,759"
Ada,Idaho,"53,014","54,506","57,215"
Adams,Idaho,"36,701","39,154","41,066"
Bannock,Idaho,"37,202","38,595","41,272"
Bear Lake,Idaho,"39,545","42,115","46,370"
Benewah,Idaho,"37,448","39,409","42,803"
Bingham,Idaho,"35,323","37,758","42,541"
Blaine,Idaho,"112,089","116,542","117,681"
Boise,Idaho,"40,739","42,821","45,422"
Bonner,Idaho,"40,496","42,190","44,751"
Bonneville,Idaho,"48,007","52,881","54,601"
