,,Per capita personal income (dollars),,
Rutland,Vermont,"51,465","53,373","57,283"
Washington,Vermont,"59,271","60,228","64,997"
Windham,Vermont,"50,364","52,380","56,610"
Windsor,Vermont,"57,640","59,713","63,786"
Virginia,Virginia,"56,978","58,738","61,958"
Accomack,Virginia,"46,445","49,695","53,762"
Amelia,Virginia,"42,496","43,865","46,780"
Amherst,Virginia,"36,613","37,560","40,293"
Appomattox,Virginia,"38,149","39,084","41,750"
Arlington,Virginia,"95,012","98,116","100,823"
Bath,Virginia,"61,741","65,682","70,050"
Bedford,Virginia,"46,031","46,857","49,457"
Bland,Virginia,"36,258","36,933","39,609"
Botetourt,Virginia,"49,935","51,018","53,767"
Brunswick,Virginia,"31,633","33,056","36,499"
Buchanan,Virginia,"34,726","36,758","38,969"
Buckingham,Virginia,"29,430","30,438","33,425"
Caroline,Virginia,"42,078","43,694","46,682"
Charles City,Virginia,"45,639","47,753","51,498"
Charlotte,Virginia,"34,668","35,669","38,547"
Chesterfield,Virginia,"53,458","55,063","58,069"
Clarke,Virginia,"64,325","66,713","69,117"
Craig,Virginia,"38,154","38,810","41,988"
Culpeper,Virginia,"46,323","47,386","50,509"
Cumberland,Virginia,"36,748","38,161","41,225"
Dickenson,Virginia,"31,639","33,524","37,046"
Essex,Virginia,"41,299","42,746","46,657"
Fauquier,Virginia,"69,905","71,927","74,801"
Floyd,Virginia,"38,387","39,255","42,304"
Fluvanna,Virginia,"44,742","45,666","48,440"
Franklin,Virginia,"40,512","41,866","44,821"
Giles,Virginia,"39,273","40,450","43,561"
Gloucester,Virginia,"48,634","50,250","53,341"
Goochland,Virginia,"99,291","104,052","105,619"
Grayson,Virginia,"31,234","32,061","35,093"
Greene,Virginia,"45,048","46,025","48,573"
Halifax,Virginia,"35,511","37,140","40,542"
Hanover,Virginia,"60,063","62,141","64,704"
Henrico,Virginia,"65,413","67,592","69,872"
Highland,Virginia,"42,035","44,185","46,315"
Isle of Wight,Virginia,"54,012","55,930","59,285"
King and Queen,Virginia,"42,705","44,565","48,888"
King George,Virginia,"52,859","55,158","57,377"
King William,Virginia,"46,352","48,001","50,951"
Lancaster,Virginia,"58,003","60,635","63,885"
Lee,Virginia,"28,954","29,704","33,056"
Loudoun,Virginia,"79,280","80,535","84,374"
Louisa,Virginia,"43,445","43,618","46,040"
Lunenburg,Virginia,"31,847","32,890","35,793"
Madison,Virginia,"46,745","48,601","51,608"
Mathews,Virginia,"54,772","56,574","59,026"
Mecklenburg,Virginia,"36,175","37,241","40,693"
Middlesex,Virginia,"50,365","52,833","55,466"
Nelson,Virginia,"50,287","52,216","55,869"
New Kent,Virginia,"73,715","74,471","77,957"
Northampton,Virginia,"52,920","55,940","62,614"
Northumberland,Virginia,"50,817","54,276","57,093"
Nottoway,Virginia,"33,723","35,445","38,594"
Orange,Virginia,"49,109","50,587","53,217"
Page,Virginia,"37,712","39,043","42,307"
Patrick,Virginia,"32,942","33,528","36,426"
Powhatan,Virginia,"57,247","58,652","61,547"
Prince Edward,Virginia,"30,640","31,621","33,868"
Pulaski,Virginia,"39,556","40,025","43,583"
Rappahannock,Virginia,"65,434","68,110","70,807"
Richmond,Virginia,"37,026","37,057","40,791"
Russell,Virginia,"32,660","33,513","36,423"
Scott,Virginia,"32,915","33,450","35,882"
Shenandoah,Virginia,"44,352","46,333","49,948"
Smyth,Virginia,"35,959","36,800","40,220"
Stafford,Virginia,"54,787","55,494","58,635"
Surry,Virginia,"43,803","44,042","47,927"
Sussex,Virginia,"30,278","32,099","35,062"
Tazewell,Virginia,"36,981","37,462","39,795"
Warren,Virginia,"45,672","47,315","50,504"
Westmoreland,Virginia,"43,390","45,092","48,577"
Wythe,Virginia,"34,762","35,644","39,116"
Alexandria,Virginia,"87,761","89,884","93,835"
Chesapeake,Virginia,"48,890","50,008","53,622"
Hampton,Virginia,"41,191","42,305","46,165"
Newport News,Virginia,"40,345","41,547","45,781"
Norfolk,Virginia,"38,262","39,453","42,996"
Portsmouth,Virginia,"38,623","40,782","44,871"
Richmond,Virginia,"52,839","55,191","59,148"
Roanoke,Virginia,"42,171","42,486","46,727"
Suffolk,Virginia,"50,591","52,030","55,561"
Virginia Beach,Virginia,"55,963","57,513","60,796"
Albemarle + Charlottesville,Virginia,"74,603","75,885","77,606"
Alleghany + Covington,Virginia,"38,939","40,015","43,230"
"Augusta, Staunton + Waynesboro",Virginia,"43,388","44,917","47,794"
Campbell + Lynchburg,Virginia,"36,870","37,702","41,030"
Carroll + Galax,Virginia,"35,078","35,549","38,908"
"Dinwiddie, Colonial Heights + Petersburg",Virginia,"39,061","40,661","44,938"
"Fairfax, Fairfax City + Falls Church",Virginia,"82,888","86,031","88,971"
Frederick + Winchester,Virginia,"50,271","51,907","54,832"
Greensville + Emporia,Virginia,"31,217","32,485","36,450"
Henry + Martinsville,Virginia,"37,923","39,183","43,380"
James City + Williamsburg,Virginia,"63,189","65,176","68,279"
Montgomery + Radford,Virginia,"36,906","37,377","39,442"
Pittsylvania + Danville,Virginia,"36,858","38,117","42,121"
Prince George + Hopewell,Virginia,"37,053","38,845","41,732"
"Prince William, Manassas + Manassas Park",Virginia,"54,733","56,181","59,812"
Roanoke + Salem,Virginia,"51,078","52,094","54,977"
"Rockbridge, Buena Vista + Lexington",Virginia,"39,023","41,029","43,534"
Rockingham + Harrisonburg,Virginia,"39,471","40,413","43,232"
Southampton + Franklin,Virginia,"40,813","43,430","46,909"
Spotsylvania + Fredericksburg,Virginia,"50,610","51,896","55,077"
Washington + Bristol,Virginia,"39,541","40,164","42,796"
Wise + Norton,Virginia,"31,879","33,052","35,929"
York + Poquoson,Virginia,"58,119","59,892","62,645"
Washington,Washington,"60,352","63,021","67,126"
Adams,Washington,"38,717","41,969","49,618"
Asotin,Washington,"44,541","46,165","49,273"
Benton,Washington,"46,157","48,285","51,757"
Chelan,Washington,"52,696","55,520","60,518"
Clallam,Washington,"44,673","46,524","49,718"
Clark,Washington,"53,180","54,930","57,863"
Columbia,Washington,"45,495","55,286","57,249"
Cowlitz,Washington,"43,407","45,124","48,232"
Douglas,Washington,"39,669","40,798","45,305"
Ferry,Washington,"34,681","35,826","39,899"
Franklin,Washington,"36,877","39,104","43,271"
Garfield,Washington,"44,496","50,454","57,967"
Grant,Washington,"38,002","40,216","48,468"
Grays Harbor,Washington,"39,056","40,319","43,710"
Island,Washington,"53,427","55,908","59,200"
Jefferson,Washington,"51,582","53,765","56,585"
King,Washington,"88,308","92,026","96,647"
Kitsap,Washington,"54,597","57,197","60,704"
Kittitas,Washington,"40,631","42,445","45,267"
Klickitat,Washington,"47,162","47,985","51,973"
Lewis,Washington,"41,618","44,091","47,752"
Lincoln,Washington,"42,278","44,794","50,851"
Mason,Washington,"41,071","42,663","45,901"
Okanogan,Washington,"40,576","41,383","47,535"
Pacific,Washington,"39,833","40,880","43,749"
Pend Oreille,Washington,"41,148","43,497","46,571"
Pierce,Washington,"49,928","52,496","56,532"
San Juan,Washington,"77,422","79,117","81,858"
Skagit,Washington,"50,703","53,221","57,315"
Skamania,Washington,"44,868","46,587","49,519"
Snohomish,Washington,"54,934","57,900","62,267"
Spokane,Washington,"45,209","46,902","50,038"
Stevens,Washington,"38,084","39,894","42,740"
Thurston,Washington,"49,483","52,010","56,007"
Wahkiakum,Washington,"42,286","44,014","47,027"
Walla Walla,Washington,"44,521","46,648","51,767"
Whatcom,Washington,"47,898","49,868","52,787"
Whitman,Washington,"38,953","40,682","44,628"
Yakima,Washington,"41,740","43,910","49,099"
West Virginia,West Virginia,"41,406","42,500","44,994"
Barbour,West Virginia,"32,717","33,642","35,878"
Berkeley,West Virginia,"41,932","42,738","45,610"
Boone,West Virginia,"35,438","36,504","39,493"
Braxton,West Virginia,"31,967","32,756","34,972"
Brooke,West Virginia,"42,285","45,144","49,579"
Cabell,West Virginia,"43,312","43,890","46,805"
Calhoun,West Virginia,"30,232","31,409","34,734"
Clay,West Virginia,"31,852","32,849","35,702"
Doddridge,West Virginia,"29,661","30,716","32,085"
Fayette,West Virginia,"34,761","36,763","38,680"
Gilmer,West Virginia,"28,573","29,646","31,020"
Grant,West Virginia,"35,827","37,173","40,571"
Greenbrier,West Virginia,"37,797","38,431","40,759"
Hampshire,West Virginia,"35,988","37,548","39,802"
Hancock,West Virginia,"42,451","43,962","47,007"
Hardy,West Virginia,"34,094","35,261","38,269"
Harrison,West Virginia,"49,131","50,174","52,124"
Jackson,West Virginia,"38,444","39,001","41,622"
Jefferson,West Virginia,"50,426","52,345","54,836"
Kanawha,West Virginia,"48,396","49,760","52,969"
Lewis,West Virginia,"41,060","42,121","43,634"
Lincoln,West Virginia,"31,559","32,449","35,309"
Logan,West Virginia,"37,030","38,173","41,110"
McDowell,West Virginia,"30,346","31,832","34,918"
Marion,West Virginia,"42,577","43,660","45,684"
Marshall,West Virginia,"42,428","42,781","44,092"
Mason,West Virginia,"33,660","34,772","37,641"
Mercer,West Virginia,"37,695","38,645","41,372"
Mineral,West Virginia,"40,939","42,421","45,193"
Mingo,West Virginia,"32,383","33,405","35,115"
Monongalia,West Virginia,"46,013","46,873","48,802"
Monroe,West Virginia,"30,964","32,450","35,005"
Morgan,West Virginia,"35,331","36,769","39,311"
Nicholas,West Virginia,"34,044","34,768","37,492"
Ohio,West Virginia,"63,476","59,708","61,452"
Pendleton,West Virginia,"36,211","37,419","40,054"
Pleasants,West Virginia,"44,001","44,380","46,074"
Pocahontas,West Virginia,"38,262","40,325","43,810"
Preston,West Virginia,"37,043","38,023","40,563"
Putnam,West Virginia,"47,071","48,125","50,363"
Raleigh,West Virginia,"41,837","43,486","45,356"
Randolph,West Virginia,"37,015","38,276","41,194"
Ritchie,West Virginia,"38,146","39,683","42,068"
Roane,West Virginia,"35,593","36,739","40,224"
Summers,West Virginia,"33,622","35,079","37,181"
Taylor,West Virginia,"41,082","42,204","43,460"
Tucker,West Virginia,"42,217","43,058","47,175"
Tyler,West Virginia,"38,348","39,583","41,195"
Upshur,West Virginia,"33,500","35,506","37,337"
Wayne,West Virginia,"34,077","35,180","37,566"
Webster,West Virginia,"28,264","29,556","33,320"
Wetzel,West Virginia,"37,034","36,631","38,428"
Wirt,West Virginia,"32,758","32,847","35,205"
Wood,West Virginia,"44,215","46,650","48,566"
Wyoming,West Virginia,"30,842","30,959","33,534"
Wisconsin,Wisconsin,"51,250","52,918","55,593"
Adams,Wisconsin,"39,259","41,511","44,159"
Ashland,Wisconsin,"40,167","41,742","44,520"
Barron,Wisconsin,"49,055","49,873","53,179"
Bayfield,Wisconsin,"48,635","50,299","53,369"
Brown,Wisconsin,"52,451","53,516","56,093"
Buffalo,Wisconsin,"45,528","46,256","50,518"
Burnett,Wisconsin,"43,807","45,431","48,574"
Calumet,Wisconsin,"50,971","53,076","55,460"
Chippewa,Wisconsin,"46,009","47,360","50,639"
Clark,Wisconsin,"40,816","42,504","46,154"
Columbia,Wisconsin,"51,029","53,511","56,134"
Crawford,Wisconsin,"41,757","42,894","46,113"
Dane,Wisconsin,"61,221","63,683","66,094"
Dodge,Wisconsin,"44,208","45,654","48,547"
Door,Wisconsin,"62,357","63,882","66,516"
Douglas,Wisconsin,"42,719","44,251","45,962"
Dunn,Wisconsin,"39,962","41,212","44,626"
Eau Claire,Wisconsin,"48,094","49,728","52,141"
Florence,Wisconsin,"53,044","58,498","56,604"
Fond du Lac,Wisconsin,"48,245","49,922","52,813"
Forest,Wisconsin,"41,448","42,304","44,657"
Grant,Wisconsin,"43,179","45,387","49,410"
Green,Wisconsin,"50,868","53,359","56,620"
Green Lake,Wisconsin,"44,699","45,595","47,898"
Iowa,Wisconsin,"47,492","49,905","53,603"
Iron,Wisconsin,"48,820","49,719","53,164"
Jackson,Wisconsin,"46,006","45,571","49,528"
Jefferson,Wisconsin,"45,664","47,176","49,591"
Juneau,Wisconsin,"38,320","39,769","42,620"
Kenosha,Wisconsin,"46,964","48,550","51,229"
Kewaunee,Wisconsin,"46,314","48,461","52,638"
La Crosse,Wisconsin,"49,776","52,166","54,532"
Lafayette,Wisconsin,"42,165","43,632","48,891"
Langlade,Wisconsin,"43,091","44,288","48,036"
Lincoln,Wisconsin,"45,787","47,030","50,216"
Manitowoc,Wisconsin,"46,608","47,911","50,829"
Marathon,Wisconsin,"50,246","52,203","55,136"
Marinette,Wisconsin,"45,138","46,320","49,557"
Marquette,Wisconsin,"41,156","42,561","45,391"
Menominee,Wisconsin,"30,513","33,696","35,082"
Milwaukee,Wisconsin,"46,792","48,107","51,002"
Monroe,Wisconsin,"41,307","42,274","45,741"
Oconto,Wisconsin,"45,795","47,227","50,060"
Oneida,Wisconsin,"50,951","51,928","54,861"
Outagamie,Wisconsin,"50,946","52,654","54,862"
Ozaukee,Wisconsin,"82,753","85,526","87,395"
Pepin,Wisconsin,"48,136","49,529","54,316"
Pierce,Wisconsin,"45,576","46,871","48,775"
Polk,Wisconsin,"46,306","47,751","50,730"
Portage,Wisconsin,"45,017","46,771","49,815"
Price,Wisconsin,"45,723","46,903","49,837"
Racine,Wisconsin,"49,191","50,729","53,094"
Richland,Wisconsin,"42,817","44,179","48,516"
Rock,Wisconsin,"43,868","46,018","48,836"
Rusk,Wisconsin,"44,291","44,799","48,292"
St. Croix,Wisconsin,"56,083","57,688","59,602"
Sauk,Wisconsin,"48,884","53,842","55,166"
Sawyer,Wisconsin,"45,144","47,730","50,276"
Shawano,Wisconsin,"42,354","43,635","47,067"
Sheboygan,Wisconsin,"52,880","53,217","55,616"
Taylor,Wisconsin,"39,501","41,631","46,070"
Trempealeau,Wisconsin,"44,521","44,875","48,324"
Vernon,Wisconsin,"40,897","41,863","44,976"
Vilas,Wisconsin,"53,903","52,739","55,140"
Walworth,Wisconsin,"49,623","51,156","53,546"
Washburn,Wisconsin,"47,250","48,761","52,457"
Washington,Wisconsin,"58,412","59,878","62,506"
Waukesha,Wisconsin,"71,918","73,883","75,958"
Waupaca,Wisconsin,"45,560","46,735","49,711"
Waushara,Wisconsin,"40,914","42,055","44,594"
Winnebago,Wisconsin,"47,644","48,943","50,840"
Wood,Wisconsin,"46,184","47,911","50,929"
Wyoming,Wyoming,"59,910","61,065","61,855"
Albany,Wyoming,"40,550","41,332","43,148"
Big Horn,Wyoming,"38,806","39,580","43,939"
Campbell,Wyoming,"53,796","54,143","53,932"
Carbon,Wyoming,"56,937","56,227","59,028"
Converse,Wyoming,"56,425","65,959","64,373"
Crook,Wyoming,"46,760","45,957","47,752"
Fremont,Wyoming,"45,220","46,191","48,350"
Goshen,Wyoming,"41,904","42,398","44,562"
Hot Springs,Wyoming,"54,305","64,515","67,005"
Johnson,Wyoming,"53,360","54,662","56,748"
Laramie,Wyoming,"52,224","53,532","55,094"
Lincoln,Wyoming,"43,215","45,700","48,449"
Natrona,Wyoming,"71,185","70,054","68,447"
Niobrara,Wyoming,"50,884","48,846","55,291"
Park,Wyoming,"57,010","58,021","59,827"
Platte,Wyoming,"49,454","51,775","52,359"
Sheridan,Wyoming,"58,331","59,200","61,543"
Sublette,Wyoming,"54,964","54,544","54,496"
Sweetwater,Wyoming,"54,941","55,947","54,000"
Teton,Wyoming,"217,958","222,893","220,645"
Uinta,Wyoming,"40,205","41,392","42,854"
Washakie,Wyoming,"48,717","51,138","54,361"
Weston,Wyoming,"45,047","46,658","47,599"
